Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
15/11/2017,0,4.8,24,4,473,24
16/11/2017,0,2.6,22,1,474,24
17/11/2017,0,4.3,23,1,475,24
18/11/2017,0,6.2,26,4,476,24
19/11/2017,0,1.6,18,2,477,24
20/11/2017,0,3.8,22,0,478,24
21/11/2017,0,3.4,21,3,479,24
22/11/2017,0,3,18,5,480,24
23/11/2017,0,2.6,20,0,481,24
24/11/2017,0,4.6,19,-1,482,24
25/11/2017,0,2.8,25,2,483,24
26/11/2017,0,3.8,21,0,484,24
27/11/2017,0,4,21,1,485,24
28/11/2017,0,2.2,22,2,486,24
29/11/2017,0,4.1,21,0,487,24
30/11/2017,0,4.233,22,0,488,24
01/04/2018,0,4.9,25,4,489,24
02/04/2018,0,7.3,26,8,490,24
03/04/2018,0,3.5,22,8,491,24
04/04/2018,7,3.2,24,10,492,24
05/04/2018,9.5,5.6,22,10,493,24
06/04/2018,10,2.9,19,9,494,24
07/04/2018,3,2.8,22,8,495,24
08/04/2018,0,4.8,24,9,496,24
09/04/2018,0,4.9,24,9,497,24
10/04/2018,6.5,4.1,21,6,498,24
11/04/2018,0,5.1,20,6,499,24
12/04/2018,7,3.3,21,7,500,24
13/04/2018,0,5.9,22,7,501,24
14/04/2018,0,7.3,22,9,502,24
15/04/2018,0,6.4,21,4,503,24
16/04/2018,0,4.1,22,4,504,24
17/04/2018,0,4.5,22,5,505,24
18/04/2018,0,5.7,22,9,506,24
19/04/2018,0,8.7,24,7,507,24
20/04/2018,0,5.9,23,4,508,24
21/04/2018,1,4.7,26,7,509,24
22/04/2018,10,5.6,27,10,510,24
23/04/2018,7.5,3.7,24,8.392,511,24
24/04/2018,15,6,22,8.392,512,24
25/04/2018,0,3,21,8.392,513,24
26/04/2018,11.5,4,20,8.392,514,24
27/04/2018,6,1.3,19,8.392,515,24
28/04/2018,0,5.6,20,8.392,516,24
29/04/2018,5.5,3.6,22,8.392,517,24
30/04/2018,24.5,4.233,23,8.392,518,24
01/05/2018,0,3.4,22,9,519,24
02/05/2018,0,5.7,22,10,520,24
03/05/2018,0,4.6,25,11,521,24
04/05/2018,11,9.2,25,11,522,24
05/05/2018,0,2.7,26,9,523,24
06/05/2018,0,4.1,22,8,524,24
07/05/2018,0,2.8,20,8,525,24
08/05/2018,14.2,3.6,17,9,526,24
09/05/2018,17,5,17,10,527,24
10/05/2018,0,2.6,18,6,528,24
11/05/2018,0.5,3.5,20,8,529,24
12/05/2018,3,5.3,22,9,530,24
13/05/2018,0,7.5,23,7,531,24
14/05/2018,15,8.8,24,8,532,24
15/05/2018,0,4.6,25,8,533,24
16/05/2018,0,6.3,29,8,534,24
17/05/2018,0,6.9,25,7,535,24
18/05/2018,0,5.6,26,7,536,24
19/05/2018,0,6.5,26,8,537,24
20/05/2018,6.5,5.1,26,10,538,24
21/05/2018,3.5,4.6,21,8,539,24
22/05/2018,0,5,25,8,540,24
23/05/2018,0,4.6,25,8,541,24
24/05/2018,0,7,26,6,542,24
25/05/2018,0,7.6,26,7,543,24
26/05/2018,0,5.9,27,7,544,24
27/05/2018,0,8.3,28,4,545,24
28/05/2018,0,6.8,29,7,546,24
29/05/2018,0,6.4,29,8,547,24
30/05/2018,0,4.8,31,8,548,24
31/05/2018,0,4.233,29,7,549,24
01/06/2018,0,4.8,25,8,550,24
02/06/2018,0,8.4,24,8,551,24
03/06/2018,0,4.6,24,10,552,24
04/06/2018,0,6.4,25,7,553,24
05/06/2018,0,6,25,8,554,24
06/06/2018,42,8.5,24,11,555,24
07/06/2018,11.5,5.3,22,12,556,24
08/06/2018,0,4,23,9,557,24
09/06/2018,0,1.8,23,9,558,24
10/06/2018,0,4.2,23,8,559,24
11/06/2018,9.5,4.8,22,12,560,24
12/06/2018,47,9.5,18,12,561,24
13/06/2018,6,10.3,17,11,562,24
14/06/2018,17.5,2.7,17,11,563,24
15/06/2018,5,3.6,17,12,564,24
16/06/2018,13.5,3.7,19,11,565,24
17/06/2018,16.5,6.8,18,11,566,24
18/06/2018,10,2.4,15,11,567,24
19/06/2018,0,2.2,18,12,568,24
20/06/2018,1,5.6,18,12,569,24
21/06/2018,0.5,0.9,18,11,570,24
22/06/2018,5,3.8,21,11,571,24
23/06/2018,0,3.2,23,8,572,24
24/06/2018,13,5.9,21,9,573,24
25/06/2018,0,5.3,20,10,574,24
26/06/2018,0,4.4,20,11,575,24
27/06/2018,7,4.4,22,9,576,24
28/06/2018,0,3.8,20,9,577,24
29/06/2018,0,4,21,8,578,24
30/06/2018,0,4.233,23,7,579,24
01/07/2018,0,4.4,24,7,580,24
02/07/2018,12.7,12.5,21,8,581,24
03/07/2018,12.7,12.7,21,8,582,24
04/07/2018,0,5.4,22,8,583,24
05/07/2018,0,4.5,22,8,584,24
06/07/2018,0,1.1,20,7,585,24
07/07/2018,9.2,4,23,9,586,24
08/07/2018,0,3.6,20,11,587,24
09/07/2018,0,2.4,23,8,588,24
10/07/2018,0,13.2,22,8,589,24
11/07/2018,6.5,4,20,8,590,24
12/07/2018,3.5,5.6,22,6,591,24
13/07/2018,6.5,6.7,22,8,592,24
14/07/2018,0,3.6,22,8,593,24
15/07/2018,0,5,23,5,594,24
16/07/2018,0,4.6,25,7,595,24
17/07/2018,0,4.3,22,8,596,24
18/07/2018,0,7.5,24,8,597,24
19/07/2018,0,5.9,25,7,598,24
20/07/2018,0,2.5,22,9,599,24
21/07/2018,0,8.5,24,9,600,24
22/07/2018,0,4.4,25,7,601,24
23/07/2018,0,6,27,9,602,24
24/07/2018,0,4.8,28,10,603,24
25/07/2018,1,5.8,26,8,604,24
26/07/2018,0,4.8,25,8,605,24
27/07/2018,0,5,25,9,606,24
28/07/2018,0,5.1,26,8,607,24
29/07/2018,0,6.6,25,8,608,24
30/07/2018,0,5,25,7,609,24
31/07/2018,0,4.233,26,8,610,24
01/08/2018,0,4.7,23,7,611,24
02/08/2018,0,3.4,21,8,612,24
03/08/2018,20,4.1,21,10,613,24
04/08/2018,14.5,3.8,22,7,614,24
05/08/2018,6.5,3.9,22,8,615,24
06/08/2018,12,3.6,21,8,616,24
07/08/2018,0,4,22,7,617,24
08/08/2018,14.2,6.2,23,7,618,24
09/08/2018,10,4.2,22,7,619,24
10/08/2018,0,5.4,22,8,620,24
11/08/2018,13,4.9,21,8,621,24
12/08/2018,0,1,18,11,622,24
13/08/2018,4.5,4,22,10,623,24
14/08/2018,0.5,4.2,21,7,624,24
15/08/2018,13.7,5.5,22,8,625,24
16/08/2018,0,5.9,23,6,626,24
17/08/2018,26.5,7.2,23,6,627,24
18/08/2018,2.5,3.4,21,7,628,24
19/08/2018,10.3,6,22,8,629,24
20/08/2018,7.5,4.4,22,9,630,24
21/08/2018,2.5,1.4,18,9,631,24
22/08/2018,0,3.2,20,10,632,24
23/08/2018,15.6,4.4,22,11,633,24
24/08/2018,1.5,4.6,22,9,634,24
25/08/2018,0,3.8,22,8,635,24
26/08/2018,0,3.3,21,8,636,24
27/08/2018,4.7,3.2,22,9,637,24
28/08/2018,0.5,2.4,20,8,638,24
29/08/2018,0,3.2,23,9,639,24
30/08/2018,0,4,22,9,640,24
31/08/2018,0,4.233,22,8,641,24
01/09/2018,5,5.2,24,7,642,24
02/09/2018,10.2,5.1,24,8,643,24
03/09/2018,0,3.8,23,9,644,24
04/09/2018,2,3.8,24,9,645,24
05/09/2018,2.3,4.9,23,9,646,24
06/09/2018,2,3.9,22,9,647,24
07/09/2018,0,2.7,23,7,648,24
08/09/2018,0,3.9,22,8,649,24
09/09/2018,0,4.6,25,9,650,24
10/09/2018,4,2.6,22,9,651,24
11/09/2018,0.8,3,21,11,652,24
12/09/2018,20,4,21,12,653,24
13/09/2018,7,3.4,20,9,654,24
